order_id,order_date,customer_id,customer_segment,region,category,product,quantity,unit_price,discount_pct,revenue
ORD101238,2023-01-01,CUST0675,Loyal,North,Home & Kitchen,Electric Kettle,4,2932.93,0,11731.72
ORD100687,2023-01-01,CUST0007,Returning,East,Electronics,Bluetooth Speaker,1,4476.28,0,4476.28
ORD103194,2023-01-01,CUST0286,New,East,Electronics,Power Bank,1,3774.15,10,3396.74
ORD102153,2023-01-01,CUST0028,Returning,Central,Beauty,Hair Dryer,1,900.99,0,900.99
ORD101071,2023-01-02,CUST0648,New,North,Electronics,Power Bank,3,3347.99,0,10043.97
ORD102635,2023-01-02,CUST0073,Returning,North,Home & Kitchen,Air Fryer,2,843.23,0,1686.46
ORD103544,2023-01-02,CUST0109,New,East,Beauty,Hair Dryer,3,579.29,10,1564.08
ORD100018,2023-01-02,CUST0827,New,East,Sports,Cricket Bat,1,1248.2,20,998.56
ORD102037,2023-01-02,CUST0555,Returning,East,Apparel,Formal Shirt,1,1733.09,10,1559.78
ORD101298,2023-01-03,CUST0271,New,Central,Apparel,Backpack,3,2098.21,10,5665.17
ORD103243,2023-01-03,CUST0046,New,North,Home & Kitchen,Table Lamp,1,2841.36,20,2273.09
ORD100112,2023-01-03,CUST0511,New,South,Sports,Football,1,1244.89,20,995.91
ORD102353,2023-01-03,CUST0844,New,East,Home & Kitchen,Table Lamp,2,2344.77,5,4455.06
ORD102733,2023-01-04,CUST0176,Loyal,West,Apparel,Backpack,1,1900.66,10,1710.59
ORD101214,2023-01-04,CUST0328,New,East,Apparel,Cotton T-Shirt,2,1037.48,5,1971.21
ORD102469,2023-01-05,CUST0047,New,West,Electronics,Wireless Earbuds,2,2462.29,0,4924.58
ORD102668,2023-01-05,CUST0071,New,Central,Sports,Football,1,1827.58,0,1827.58
ORD100031,2023-01-05,CUST0749,Returning,Central,Beauty,Hair Dryer,1,535.09,15,454.83
ORD103433,2023-01-05,CUST0386,Returning,North,Electronics,Wireless Earbuds,3,2129.73,0,6389.19
ORD103323,2023-01-05,CUST0739,Returning,West,Home & Kitchen,Mixer Grinder,1,1084.3,20,867.44
ORD103206,2023-01-05,CUST0825,New,North,Beauty,Sunscreen SPF50,1,1103.89,0,1103.89
ORD101076,2023-01-05,CUST0714,New,North,Sports,Football,1,727.22,10,654.5
ORD100402,2023-01-06,CUST0184,Returning,North,Electronics,Wireless Earbuds,1,2278.73,0,2278.73
